TimeStamp (s),GlbAccX (m/s^2),GlbAccY (m/s^2),GlbAccZ (m/s^2),GlbVelX (m/s),GlbVelY (m/s),GlbVelZ (m/s),GlbPosX (m),GlbPosY (m),GlbPosZ (m)
51.88,0.0004383051933151401,0.006497703973794138,0.0005534350558459421,3.316672557920845e-05,-0.00022043763300928407,-0.00020638127220484878,-2.423972132074277e-05,8.936347003395606e-05,-2.4385870115050477e-05
51.89,0.0012799730712869581,-0.007968837392908068,0.01696871260158995,4.187062427218248e-05,-0.00022694739392589296,-0.00011819823117255623,-2.3748973944355683e-05,8.71986395096323e-05,-2.6162246042028204e-05
51.9,0.0035268148122220787,-0.0004505258762966765,-0.006963937297378747,6.600891907992008e-05,-0.0002681856520125696,-6.76125629844809e-05,-2.3087945366988764e-05,8.479861883941223e-05,-2.7244215534524e-05
51.91,0.0023365768772309666,0.011443823782139305,-0.010523681072383096,9.542197986390483e-05,-0.00021234828145304846,-0.00015449955021760756,-2.2153171995332354e-05,8.247502933269706e-05,-2.8507083621221045e-05
51.92,0.0017530069273974328,-0.007772610448166983,0.007988846725995494,0.00011595765161922817,-0.0001931093414581486,-0.0001666334784628435,-2.096275145926895e-05,8.053014124840092e-05,-3.0264402312772977e-05
51.93,0.0010257987590566611,0.0026039941898785834,0.003226606472008052,0.0001299309912014614,-0.0002180578886264014,-0.00011002700227615373,-1.9593969130891193e-05,7.855990795106198e-05,-3.179865746726273e-05
51.94,0.0022986942866316143,0.011886299516034992,-0.015608275307808261,0.00014662423864214878,-0.00014470055754732606,-0.00017141733977275574,-1.8066126102654333e-05,7.683480310291166e-05,-3.335608345912149e-05
51.95,0.007237258025119502,-0.01033768545958093,0.01660810033959715,0.00019436617078869408,-0.00013604062939289585,-0.0001659115797134878,-1.6210470540131323e-05,7.55227496107435e-05,-3.519213535716875e-05
51.96,-0.0038172412931643755,-0.005776156384354363,0.0005613236446505312,0.0002115197354382083,-0.00021568231911170828,-7.956936296612253e-05,-1.4024794095294553e-05,7.38586317945719e-05,-3.656810104612322e-05
51.97,-0.004045535413567765,-0.006539794733913127,-0.017080904533268663,0.00017225057007831576,-0.0002763242277178225,-0.00016168387295506346,-1.1944247554827053e-05,7.149581885955211e-05,-3.792203170841575e-05
51.98,0.012271765185319543,-0.007826897741674317,0.008496594835748196,0.00021341760587267308,-0.000347209850082917,-0.00020413389164599218,-9.848860874249075e-06,6.847796856815194e-05,-3.989783753890325e-05
51.99,0.0035538012188719775,0.004806912910178969,0.0026110875789204947,0.00029257243000278447,-0.0003613522758330936,-0.00014813597468890503,-7.146613379856932e-06,6.503745486948089e-05,-4.1804904615972654e-05
52.0,-0.0008770324630566107,0.013410589854335504,-0.014681648759415168,0.00030597431234584454,-0.00026929793988427885,-0.00020804145882899214,-3.976432025049135e-06,6.19888532720405e-05,-4.373045768615356e-05
52.01,-0.0010611747775677457,-0.0054270452297059115,0.0035317442581109066,0.0002962923073463563,-0.00022840440550192883,-0.0002633559988391212,-7.826040033848174e-07,5.960721854900676e-05,-4.6231005671210204e-05
52.02,-0.007457269082858332,-0.00406347565328442,0.006280517046335116,0.0002537000630071578,-0.0002748725438914639,-0.000213872203151188,2.154795193136944e-06,5.7199812630776044e-05,-4.875954803879394e-05
52.03,-0.006189963598166531,5.70520027636729e-05,-0.017349149759163258,0.00018545477440820514,-0.00029391187537228795,-0.0002688055228493356,4.542842528805672e-06,5.4466844894137065e-05,-5.13141237969693e-05
52.04,0.0003267519620845546,-0.0009569730078534168,0.0017322499098524542,0.0001561204519523371,-0.0002974107064274383,-0.0003464929733874971,6.4477192882088705e-06,5.162303506072028e-05,-5.4530533543064494e-05
52.05,0.0005493830043677946,-0.010428996469678339,0.016369443618487182,0.00016047368951884746,-0.00035333212559908185,-0.0002556003999268886,8.232308122637429e-06,4.8483845431110796e-05,-5.767959144853555e-05
52.06,-0.0004475149879423477,0.009336949335697863,-0.007214830680169564,0.00016094639047506816,-0.0003577766110445723,-0.00020945631789696104,1.0045532567726318e-05,4.5044420102021e-05,-6.0142082774087885e-05
52.07,0.00385784572658945,-0.008418522868306199,0.008270098954744589,0.0001779521793715628,-0.00035216173787850047,-0.00020382219110259782,1.195054224999704e-05,4.1612312609275794e-05,-6.234424197888356e-05
52.08,-0.0031163581655673546,-0.005359749281329236,0.004746217376993053,0.00018160450797577947,-0.0004200236976474173,-0.00013839619720657696,1.3963120682412538e-05,3.787030743693499e-05,-6.418960104846846e-05
52.09,-0.0030005040917830375,0.0034187946896907457,-0.016174112225530664,0.00015095582944389056,-0.0004286927388686576,-0.00019520477148086515,1.584487946128222e-05,3.3746856726575314e-05,-6.599031436960542e-05
52.1,0.005225239656114931,-0.011093086260545549,0.0016754668888050526,0.0001620058734430159,-0.00046602246244813417,-0.0002673807473538266,1.763268970995256e-05,2.939449330695313e-05,-6.843433202735361e-05
52.11,0.00014131101947889796,-0.003671481209515561,0.020572750296211334,0.00018875572300612513,-0.0005387978899253929,-0.00015583619445572674,1.9613425282685943e-05,2.4492556905445786e-05,-7.067982799587123e-05
52.12,-0.002525102291348291,0.01533245040999201,-0.010774672798805477,0.0001767445945520667,-0.00047944028400599475,-0.00010655625629120685,2.167166025317298e-05,1.9524355915712712e-05,-7.211946170854151e-05
52.13,0.0002296039916099813,0.0005180783575317515,0.004132477344597961,0.00016516566952546813,-0.0003991298542738994,-0.0001394917294036459,2.3615629461603213e-05,1.5255191534149152e-05,-7.347557171303284e-05
52.14,-0.002478720998594678,-0.0075443864186757,0.021490755688203318,0.00015380940151488772,-0.0004331989051871466,-1.1114234576207257e-05,2.5448484755745654e-05,1.1217802627810241e-05,-7.435260807891965e-05
52.15,-0.002561505353010825,0.00676827096413553,-0.013774174524637382,0.00012848835445990553,-0.00043601261036478367,2.7715700693042828e-05,2.7101391958878396e-05,6.996440990838964e-06,-7.439168107442712e-05
52.16,-0.000637099263498165,-0.002451739292313915,0.0002509537680369726,0.00011236620602656774,-0.0004133590162256091,-3.96677972958244e-05,2.855039704580459e-05,2.8745927112023027e-06,-7.457153245370701e-05
52.17,-0.0014518772940090967,0.0002206206906583746,0.010431473222701075,0.0001017830152405569,-0.0004234399269175327,1.3962398633106924e-05,2.9869063674083904e-05,-1.1842049055694483e-06,-7.481809720688892e-05
52.18,-0.019643954651428857,0.00379781676662006,-0.010637924751796608,-3.843602592486608e-06,-0.00040226962597021557,1.3133538278007045e-05,3.060974292817181e-05,-5.187494445716422e-06,-7.479853796672768e-05
52.19,-0.006839924412166,-0.0017110941707776908,-0.005072045076671609,-0.00013641956845623525,-0.00039075478113502184,-6.52276938171011e-05,3.0162343475445474e-05,-9.027422629299565e-06,-7.517274724661309e-05
52.2,-0.010531769919411592,-0.004731138405286982,0.01828338688232946,-0.00022344368031438613,-0.00042188190498937346,1.0027377764532943e-06,2.8619749556022412e-05,-1.2965601379714021e-05,-7.560536353797237e-05
52.21,0.0021644204375350306,-0.006110730301509799,-0.012030548975851508,-0.0002654550896863281,-0.00047500471114864654,3.2425643484637335e-05,2.6434654886339993e-05,-1.7325342977594318e-05,-7.554740070711164e-05
52.22,0.0014022762757589153,-0.0021983122403591766,-0.010818465252609037,-0.0002478052368599162,-0.0005154611946757987,-8.167582743544249e-05,2.4130299503840417e-05,-2.2153417398206523e-05,-7.590045245301569e-05
52.23,0.0027224805793131654,-0.0064885258506192575,0.021164423266072808,-0.00022737399404050822,-0.000557804768328865,-2.9817660308495886e-05,2.20187662198993e-05,-2.7396050732494255e-05,-7.656227631372222e-05
52.24,0.007234796971517906,0.006672793615970002,-0.010253427995067167,-0.0001777889953381842,-0.0005557912268448367,2.4850365101873004e-05,2.0259599707083198e-05,-3.284101411123771e-05,-7.668895833971831e-05
52.25,0.005897385138195345,0.009497170452041495,-0.0015620471187751139,-0.00011233825327964793,-0.00047384791726528386,-3.4129391878824365e-05,1.907776585391854e-05,-3.786699330272112e-05,-7.683462139964313e-05
52.26,0.01471965649267007,-0.010428919967393653,0.007006141598854008,-9.471919880910618e-06,-0.0004774121857383028,-6.826831427761686e-06,1.8739539231700996e-05,-4.2501996396601124e-05,-7.713602581196184e-05
52.27,-0.0020517292863205033,0.011367372651160841,-0.010159495941679236,5.364021329203546e-05,-0.00047162474745306604,-2.2527143296277482e-05,1.9233094255609066e-05,-4.7126920571988805e-05,-7.73767071205963e-05
52.28,0.00019928964799953381,0.004729508007217958,-0.006298528431248594,4.414196726284803e-05,-0.00039004476495907545,-0.00010476652877129105,1.999647510614036e-05,-5.131616110741166e-05,-7.810430763134868e-05
52.29,0.012957151106988345,-0.013985402671059612,0.013603704650859983,0.00010967966627847356,-0.00043522854343760206,-6.820572756165868e-05,2.1041676364333062e-05,-5.532468925940921e-05,-7.905745419318301e-05
52.3,-0.011858577723008305,0.007010466442081083,0.001889935630424112,0.00011491966447494298,-0.0004690077000184872,9.281487298089041e-06,2.244225573337794e-05,-5.9729414464727326e-05,-7.943744608906139e-05
52.31,-0.0060135304063904695,0.008267589341370415,-0.0053318149827966815,2.5297988964273665e-05,-0.0003915223498980596,-7.924890593991567e-06,2.3422282608870544e-05,-6.391710332043937e-05,-7.951305140209999e-05
52.32,-0.010979396745043467,-0.0021522100031673495,0.011744793598372853,-5.993594514288735e-05,-0.0003598511155718543,2.41269413130627e-05,2.3529253439462855e-05,-6.756061454157478e-05,-7.951137917091188e-05
52.33,-0.0044128759851152,-0.005207787003874135,0.006602818198832737,-0.00013717466318501078,-0.0003955577738266303,0.00011583577611245683,2.2824949020228786e-05,-7.122601720071584e-05,-7.888778542596681e-05
52.34,-0.010439255312692627,0.014160680626208757,-0.013646464367193512,-0.0002117206179114008,-0.00034970126411578236,8.05720775888335e-05,2.1362675208789586e-05,-7.48424922452578e-05,-7.797877991780824e-05
52.35,-0.0015906834619067315,-0.008697779190781385,0.011964215662172782,-0.00027216343696506473,-0.0003212962718497979,7.20990449173837e-05,1.9226277469020872e-05,-7.808958697389357e-05,-7.728520412156838e-05
52.36,-0.005295855541535925,-0.006509591726304669,0.011702146523340116,-0.0003068969625417646,-0.0003962444661540325,0.00019035266978927707,1.6614683978810737e-05,-8.157142861929501e-05,-7.603940363287508e-05
52.37,0.003972220849000734,0.013486397641113953,-0.012865043789411591,-0.0003138235457637097,-0.0003602738663409598,0.00018444352758876023,1.3795342067422225e-05,-8.525029095288944e-05,-7.422849132275694e-05
52.38,0.0017569981346263288,-0.002457932980874938,0.015541767591343897,-0.0002854933090607012,-0.00030404732498608947,0.00019771595056339487,1.108343686880812e-05,-8.847040013840076e-05,-7.237730567129619e-05
52.39,0.010733164331495373,0.00687190211259575,0.011296010094624359,-0.000223365668144115,-0.00028089587248578346,0.0003317770350135045,8.824106052878707e-06,-9.129594972459108e-05,-6.978592819996297e-05
52.4,0.0033981691121043574,0.007855664292451766,-0.016152396767563894,-0.000153039345822803,-0.00020617930071807232,0.00030735062453132565,7.227196877494319e-06,-9.363458528020251e-05,-6.6642785952247e-05
52.41,0.003854333648663613,-0.007119831643874716,0.008645869715181621,-0.0001171142062789025,-0.00020142451756015572,0.00026965677642429276,6.16156399969885e-06,-9.557838372088638e-05,-6.380658672642799e-05
52.42,0.0022493035041163704,0.002602347340032201,0.013465297556581575,-8.694027567367783e-05,-0.00022293968854403658,0.0003800346042407894,5.426313012191137e-06,-9.760859511816756e-05,-6.060324276401153e-05
52.43,-0.0034459519933953643,0.014691844546952916,-0.017265646112039096,-9.327450142809549e-05,-0.0001354000943154988,0.0003608379998920166,4.810015080011875e-06,-9.931138450516244e-05,-5.694020161533924e-05
52.44,-0.00023519441158215203,0.004896060319534202,0.003631026320377147,-0.00011203778793820212,-3.6395794091507116e-05,0.00029245313165695126,4.067852601862951e-06,-0.00010008424128811881,-5.371121090492368e-05
52.45,-0.0043460376122832645,-0.00610789725924152,0.009034325341143389,-0.00013530791258936165,-4.139430175039284e-05,0.00035555116098053637,3.115015112388547e-06,-0.00010038994035693767,-5.0504732023150825e-05
52.46,-0.022496451119950054,0.008242476773390755,-0.02305757858291957,-0.0002698905656061089,-2.966506272517402e-05,0.00028518915677147605,1.3722754047214685e-06,-0.0001006649389619113,-4.7330585662843955e-05
52.47,0.0049586316374523225,-0.01511002868444996,0.002390693913131233,-0.0003579559479511817,-6.29510499242878e-05,0.00018159193980999498,-1.484472536157733e-06,-0.00010105075395585794,-4.502218356260164e-05
52.48,-0.0030757440482249753,-0.011791973160126068,0.013237672393621691,-0.0003489236973140587,-0.00019641408618128038,0.0002594538782552725,-4.73728321994092e-06,-0.00010227342362946144,-4.283834205088512e-05
52.49,-0.01486538102979999,0.007193369088447837,-0.017425147085144567,-0.0004390172353074007,-0.00021836516003660386,0.00023821947112298892,-8.396425703912733e-06,-0.00010427634773915984,-4.036718369544731e-05
52.5,0.0008596236307700606,0.0004270421984109631,0.004561480221930785,-0.0005094394793099736,-0.0001792264074189645,0.0001735869242102321,-1.285929994153986e-05,-0.00010619658902375936,-3.8321118156020166e-05
52.51,-0.0005815588805987441,-0.0026716444724821375,0.009059429734049248,-0.0005084479723491797,-0.00018941819357356382,0.00024136004693165543,-1.7670607340218995e-05,-0.00010797542004055787,-3.625504567341756e-05
52.52,-0.0008738260415606289,0.0035807715074083974,-0.018138231745975616,-0.0005161288852570208,-0.00018384702159839473,0.00019561736263048974,-2.2516766979712362e-05,-0.00010978074495525397,-3.4074455523133034e-05
52.53,0.006286141524868153,0.0024463151405122886,-0.004742559211792853,-0.0004894762757944094,-0.00015269195423199246,8.084745653714283e-05,-2.726959813751649e-05,-0.00011140589298498047,-3.269200217778248e-05
52.54,0.013967745833243886,-0.009813313408009281,0.020295986356085087,-0.00038862059127145265,-0.00018851342519920794,0.00015823133687586992,-3.138654162354171e-05,-0.00011305788800854869,-3.1491992924378135e-05
52.55,0.0017458842413247489,0.01802465550982481,-0.010649281363574552,-0.0003104707787266297,-0.0001464495159991574,0.00020606427825119641,-3.461023417932076e-05,-0.00011468224361890452,-2.9661354459299836e-05
52.56,0.006225834469629116,0.015073187367494047,0.004266097526204037,-0.00027103490648180197,2.0040370618776802e-05,0.00017373042605985317,-3.724789653649377e-05,-0.00011526745792849423,-2.7748617244390175e-05
52.57,0.006205670988200745,-0.00401177906122938,0.014109696082601899,-0.00020930427866738471,7.634135626359117e-05,0.00026517409340820307,-3.9381745156281156e-05,-0.00011474239751556923,-2.5535670356513245e-05
52.58,-0.0013755385436600982,0.006835564531131487,-0.019595834308083773,-0.00018558448561635716,9.144730105132149e-05,0.00023729071858475024,-4.1090479794188024e-05,-0.00011386403107333979,-2.3000205065226976e-05
52.59,-0.0017928247589816533,0.0015952091213203932,-0.003147086610959688,-0.00020186092946953264,0.00013458106459562252,0.00012310603497506893,-4.276425394531782e-05,-0.0001126982406850805,-2.1170307773583876e-05
52.6,0.0066822201806868015,-0.015705206058159157,0.014399905033425125,-0.0001778521233710524,6.500366060712754e-05,0.0001788826434550029,-4.4401739414337786e-05,-0.00011166848602296692,-1.9627624247420493e-05
52.61,-0.011322266174366926,0.0027592534328534394,-0.0018542651296002462,-0.0002014938506446706,1.2389741829454438e-06,0.00024110594847021838,-4.6039878177974564e-05,-0.00011130929918915475,-1.749006130227645e-05
52.62,-0.012009266600587118,0.006380987938096939,-0.010801932765024749,-0.00031859611796257453,4.7897567333311764e-05,0.00017730265044257649,-4.838433980989599e-05,-0.00011103953694450275,-1.535546634787608e-05
