SensorId, TimeStamp (s), FrameNumber, AccX (g), AccY (g), AccZ (g), GyroX (deg/s), GyroY (deg/s), GyroZ (deg/s), MagX (uT), MagY (uT), MagZ (uT), EulerX (deg), EulerY (deg), EulerZ (deg), QuatW, QuatX, QuatY, QuatZ, LinAccX (g), LinAccY (g), LinAccZ (g), Pressure (kPa), Altitude (m), Temperature (degC), HeaveMotion (m)
1, 0.5600, 56, -0.00277684, -0.01416531, -1.00154769, -0.01243263, -0.02822295, -0.01880290, -51.67420959, -34.72993851, 44.40018082, 0.70275116, 0.21064375, 0.80635542, -0.99995482, 0.00611952, 0.00188129, 0.00702530, 0.00000940, 0.00003601, 0.00165145, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.5700, 57, -0.00230212, -0.01426575, -1.00027370, -0.02946477, -0.01085399, 0.01687796, -51.31161499, -31.51943970, 44.31243896, 0.70171773, 0.21267940, 0.80641371, -0.99995482, 0.00611038, 0.00189899, 0.00702572, -0.00043602, 0.00014307, 0.00037460, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.5800, 58, -0.00260178, -0.01382403, -0.99907887, -0.01096354, -0.01060347, 0.05122773, -51.05779648, -32.34974289, 44.62830734, 0.70164233, 0.21375932, 0.80688477, -0.99995482, 0.00610965, 0.00190843, 0.00702977, -0.00008954, -0.00028715, -0.00081910, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.5900, 59, -0.00292494, -0.01441467, -0.99826068, -0.01184817, 0.04177039, -0.01859056, -50.91276169, -31.63014984, 44.29489136, 0.70154214, 0.21430911, 0.80669665, -0.99995482, 0.00610874, 0.00191321, 0.00702810, 0.00023779, 0.00031381, -0.00163418, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.6000, 60, -0.00315234, -0.01365055, -0.99867672, 0.04221245, -0.02751784, -0.00237504, -50.80398178, -33.23539352, 44.43527985, 0.70020169, 0.21293646, 0.80665159, -0.99995488, 0.00609713, 0.00190115, 0.00702780, 0.00045597, -0.00043596, -0.00121828, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.6100, 61, -0.00263589, -0.01397157, -0.99956739, 0.00552795, 0.00728922, -0.00165852, -50.80398178, -33.23539352, 44.43527985, 0.70011121, 0.21406083, 0.80661732, -0.99995488, 0.00609627, 0.00191096, 0.00702745, -0.00007708, -0.00010756, -0.00033045, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.6200, 62, -0.00325365, -0.01436545, -1.00032818, 0.00646626, -0.07915368, -0.03775812, -50.91276169, -32.90327454, 44.38263321, 0.70064616, 0.21253523, 0.80625373, -0.99995494, 0.00610104, 0.00189766, 0.00702435, 0.00054033, 0.00028483, 0.00043497, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.6300, 63, -0.00278003, -0.01497715, -0.99969918, 0.02324071, -0.00917109, 0.03341612, -50.80398178, -32.01762009, 44.03166580, 0.70255917, 0.21188675, 0.80663598, -0.99995476, 0.00611777, 0.00189213, 0.00702769, 0.00005715, 0.00086042, -0.00019548, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.6400, 64, -0.00299336, -0.01404645, -0.99856055, 0.00566233, -0.02609900, 0.03266215, -51.49291229, -32.51580429, 44.43527985, 0.70262533, 0.21102007, 0.80697912, -0.99995476, 0.00611839, 0.00188459, 0.00703073, 0.00025724, -0.00007471, -0.00133446, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.6500, 65, -0.00280706, -0.01362486, -0.99791795, 0.00389384, 0.01016908, -0.10660043, -51.09405899, -32.12833023, 44.20714951, 0.70250267, 0.21110255, 0.80592072, -0.99995482, 0.00611733, 0.00188525, 0.00702149, 0.00007014, -0.00049047, -0.00197916, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.6600, 66, -0.00241566, -0.01279946, -0.99782050, -0.01289914, -0.00836787, -0.01704733, -51.09405899, -32.12833023, 44.20714951, 0.70134920, 0.21121612, 0.80573475, -0.99995494, 0.00610726, 0.00188616, 0.00701988, -0.00031695, -0.00130565, -0.00208071, 0.00000000, 0.00000000, 0.00000000, 0.00000000
