SensorId, TimeStamp (s), FrameNumber, AccX (g), AccY (g), AccZ (g), GyroX (deg/s), GyroY (deg/s), GyroZ (deg/s), MagX (uT), MagY (uT), MagZ (uT), EulerX (deg), EulerY (deg), EulerZ (deg), QuatW, QuatX, QuatY, QuatZ, LinAccX (g), LinAccY (g), LinAccZ (g), Pressure (kPa), Altitude (m), Temperature (degC), HeaveMotion (m)
1, 5.9400, 594, -0.00236855, -0.01426124, -1.00076032, -0.03782024, 0.03008563, 0.00269826, -50.62268448, -32.73721695, 43.82108307, 0.69476593, 0.20483145, 0.80458736, -0.99995542, 0.00605023, 0.00182998, 0.00701031, -0.00050034, 0.00027034, 0.00085953, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 5.9500, 595, -0.00333661, -0.01455643, -0.99962926, -0.05403588, -0.05638870, -0.04997671, -50.58642197, -32.79257202, 44.01411438, 0.69566703, 0.20314309, 0.80404592, -0.99995553, 0.00605820, 0.00181528, 0.00700566, 0.00046501, 0.00055419, -0.00026455, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 5.9600, 596, -0.00284042, -0.01419512, -0.99877656, 0.01764511, -0.05455253, -0.06765733, -50.73146439, -32.23903656, 44.10186005, 0.69604844, 0.20333962, 0.80338860, -0.99995548, 0.00606153, 0.00181698, 0.00699991, -0.00003009, 0.00019466, -0.00112106, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 5.9700, 597, -0.00284555, -0.01379809, -0.99886352, -0.05300014, -0.00305159, 0.02233520, -50.33260727, -32.79257202, 44.08430862, 0.69526803, 0.20332472, 0.80360222, -0.99995553, 0.00605472, 0.00181681, 0.00700179, -0.00002904, -0.00019340, -0.00103504, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 5.9800, 598, -0.00269772, -0.01364018, -0.99925876, 0.01870079, -0.00223049, 0.07275438, -50.62268448, -32.18368149, 43.89128113, 0.69492525, 0.20337050, 0.80433273, -0.99995548, 0.00605171, 0.00181723, 0.00700816, -0.00017984, -0.00035588, -0.00064097, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 5.9900, 599, -0.00348664, -0.01474226, -0.99947786, -0.03348118, -0.03807793, 0.08906980, -50.62268448, -32.18368149, 43.89128113, 0.69561100, 0.20219526, 0.80518752, -0.99995542, 0.00605775, 0.00180706, 0.00701568, 0.00059846, 0.00075267, -0.00041485, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 6.0000, 600, -0.00294674, -0.01388018, -0.99983799, -0.05216032, 0.03279064, 0.01893643, -51.05779648, -32.07297516, 43.80353546, 0.69379139, 0.20196368, 0.80537409, -0.99995548, 0.00604189, 0.00180494, 0.00701734, 0.00003802, -0.00008577, -0.00006018, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 6.0100, 601, -0.00278874, -0.01415454, -0.99969000, 0.03718469, -0.01876644, -0.03497657, -51.13031769, -31.85156059, 44.08430862, 0.69456238, 0.20201452, 0.80502397, -0.99995548, 0.00604862, 0.00180541, 0.00701427, -0.00011460, 0.00018222, -0.00020857, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 6.0200, 602, -0.00245841, -0.01342047, -0.99965405, 0.00117715, -0.01881832, -0.01672344, -50.29634857, -32.07297516, 43.85618210, 0.69372070, 0.20284821, 0.80488408, -0.99995553, 0.00604122, 0.00181263, 0.00701302, -0.00043788, -0.00055817, -0.00024791, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 6.0300, 603, -0.00284482, -0.01416052, -0.99917197, -0.01646129, 0.03303033, 0.03674592, -50.94901657, -32.07297516, 43.92637634, 0.69390422, 0.20311806, 0.80525488, -0.99995548, 0.00604280, 0.00181501, 0.00701624, -0.00004235, 0.00019939, -0.00072626, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 6.0400, 604, -0.00257206, -0.01367204, -0.99901646, 0.01862725, 0.03273302, -0.01652093, -50.94901657, -32.12833023, 43.92637634, 0.69357878, 0.20402561, 0.80510277, -0.99995548, 0.00603991, 0.00182291, 0.00701487, -0.00029801, -0.00029718, -0.00088430, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 6.0500, 605, -0.00273478, -0.01336277, -0.99959034, 0.03609630, -0.00178318, -0.05136593, -50.69519806, -32.68186569, 44.36508179, 0.69263667, 0.20441702, 0.80460143, -0.99995553, 0.00603167, 0.00182624, 0.00701049, -0.00013382, -0.00058616, -0.00031019, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 6.0600, 606, -0.00323415, -0.01360030, -1.00062430, 0.03571174, 0.03193017, 0.03665018, -50.87649536, -31.57479477, 44.32999039, 0.69237781, 0.20366150, 0.80492753, -0.99995553, 0.00602945, 0.00181965, 0.00701338, 0.00036118, -0.00034991, 0.00072738, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 6.0700, 607, -0.00246063, -0.01332780, -0.99977487, -0.03531794, -0.02068774, 0.00131735, -50.22382736, -32.12833023, 44.11940765, 0.69002885, 0.20379646, 0.80492407, -0.99995565, 0.00600895, 0.00182068, 0.00701338, -0.00040865, -0.00058293, -0.00012801, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 6.0800, 608, -0.00216980, -0.01352073, -0.99856126, 0.07043089, 0.04973074, -0.01660173, -50.22382736, -32.12833023, 44.11940765, 0.69030523, 0.20494249, 0.80480516, -0.99995571, 0.00601129, 0.00183069, 0.00701228, -0.00068371, -0.00037905, -0.00134312, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 6.0900, 609, -0.00274644, -0.01413587, -0.99853307, 0.03340333, 0.06582826, -0.03313300, -50.94901657, -33.23539352, 43.96147156, 0.69085950, 0.20565003, 0.80449289, -0.99995565, 0.00601609, 0.00183688, 0.00700951, -0.00009000, 0.00022621, -0.00136633, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 6.1000, 610, -0.00281035, -0.01416405, -0.99880689, 0.06968085, -0.02213035, 0.05314576, -50.36886978, -30.91055298, 44.41772842, 0.69181257, 0.20549351, 0.80503672, -0.99995553, 0.00602441, 0.00183560, 0.00701424, -0.00002843, 0.00023907, -0.00109187, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 6.1100, 611, -0.00214018, -0.01409201, -0.99926811, -0.03841954, -0.00487957, -0.03328677, -50.98527908, -31.79620743, 44.06675720, 0.69161355, 0.20663655, 0.80478358, -0.99995559, 0.00602261, 0.00184555, 0.00701198, -0.00068506, 0.00016907, -0.00063498, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 6.1200, 612, -0.00309738, -0.01409553, -0.99977833, -0.03722108, 0.01169587, 0.07147927, -50.44138336, -32.23903656, 44.20714951, 0.69158471, 0.20549712, 0.80543590, -0.99995553, 0.00602241, 0.00183564, 0.00701773, 0.00026568, 0.00016193, -0.00011859, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 6.1300, 613, -0.00214802, -0.01408405, -1.00002933, 0.05165141, -0.02152969, -0.03530009, -50.44138336, -32.23903656, 44.20714951, 0.69316959, 0.20683575, 0.80516690, -0.99995553, 0.00603617, 0.00184741, 0.00701529, -0.00068218, 0.00013184, 0.00012647, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 6.1400, 614, -0.00312188, -0.01389113, -0.99895370, 0.06832749, 0.02980630, 0.06989218, -50.65894318, -31.85156059, 44.15450668, 0.69355005, 0.20684236, 0.80584723, -0.99995542, 0.00603947, 0.00184752, 0.00702122, 0.00031124, -0.00007049, -0.00094305, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 6.1500, 615, -0.00228987, -0.01433846, -0.99914789, -0.00398919, -0.00497018, 0.01697971, -51.09405899, -31.79620743, 44.08430862, 0.69394332, 0.20801769, 0.80609083, -0.99995530, 0.00604283, 0.00185782, 0.00702327, -0.00051236, 0.00037108, -0.00075324, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 6.1600, 616, -0.00309695, -0.01343288, -0.99904013, 0.01323917, 0.01274753, -0.03530222, -50.73146439, -31.24267197, 44.15450668, 0.69341868, 0.20764440, 0.80569816, -0.99995542, 0.00603828, 0.00185451, 0.00701988, 0.00030098, -0.00053103, -0.00085748, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 6.1700, 617, -0.00285005, -0.01343185, -0.99892026, 0.01387379, -0.05665190, -0.01830805, -51.63794708, -31.40873337, 44.17205048, 0.69279844, 0.20680718, 0.80548024, -0.99995553, 0.00603292, 0.00184715, 0.00701803, 0.00003423, -0.00052149, -0.00097914, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 6.1800, 618, -0.00264239, -0.01426638, -1.00051463, -0.00413998, 0.01277848, 0.05280469, -51.63794708, -31.40873337, 44.17205048, 0.69326127, 0.20688824, 0.80602115, -0.99995542, 0.00603695, 0.00184791, 0.00702274, -0.00018311, 0.00030525, 0.00061542, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 6.1900, 619, -0.00334090, -0.01385887, -0.99931699, 0.01283012, 0.03045870, -0.01802214, -51.45664978, -31.35338211, 43.82108307, 0.69311178, 0.20659472, 0.80580395, -0.99995542, 0.00603567, 0.00184533, 0.00702086, 0.00052493, -0.00009359, -0.00057854, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 6.2000, 620, -0.00292132, -0.01402523, -1.00050974, -0.02306133, 0.01258267, -0.06949207, -50.91276169, -32.40509796, 43.71579361, 0.69317681, 0.20695989, 0.80512661, -0.99995548, 0.00603622, 0.00184849, 0.00701493, 0.00009729, 0.00006803, 0.00061182, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 6.2100, 621, -0.00355141, -0.01398593, -0.99901223, 0.01328810, 0.02955140, 0.00111649, -51.05779648, -32.23903656, 44.22469711, 0.69330698, 0.20635353, 0.80510271, -0.99995548, 0.00603739, 0.00184320, 0.00701475, 0.00073094, 0.00002933, -0.00088161, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 6.2200, 622, -0.00274520, -0.01407684, -0.99834967, -0.00420525, -0.02313068, 0.00084113, -50.98527908, -32.62651062, 44.04921341, 0.69293660, 0.20641936, 0.80511606, -0.99995548, 0.00603416, 0.00184376, 0.00701487, -0.00007209, 0.00011863, -0.00154916, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 6.2300, 623, -0.00226166, -0.01439592, -0.99945325, 0.01331803, 0.01193178, 0.00121118, -50.98527908, -32.62651062, 44.04921341, 0.69430310, 0.20744833, 0.80517942, -0.99995542, 0.00604602, 0.00185282, 0.00701535, -0.00055285, 0.00042636, -0.00044796, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 6.2400, 624, -0.00315729, -0.01388665, -0.99941009, -0.03906920, -0.05787859, 0.01784556, -51.63794708, -31.63014984, 44.18959808, 0.69365591, 0.20587640, 0.80531222, -0.99995542, 0.00604047, 0.00183907, 0.00701660, 0.00033234, -0.00008524, -0.00048631, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 6.2500, 625, -0.00281727, -0.01409675, -0.99941510, -0.03884413, -0.03910285, 0.00056795, -50.65894318, -31.40873337, 43.92637634, 0.69352818, 0.20592181, 0.80533278, -0.99995542, 0.00603935, 0.00183946, 0.00701678, -0.00001369, 0.00013040, -0.00048321, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 6.2600, 626, -0.00254175, -0.01445500, -0.99987805, -0.03780307, -0.07271238, -0.05190641, -50.65894318, -32.84792328, 43.78598785, 0.69417489, 0.20573825, 0.80483764, -0.99995542, 0.00604501, 0.00183787, 0.00701246, -0.00029170, 0.00048346, -0.00002138, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 6.2700, 627, -0.00269025, -0.01449167, -0.99942046, -0.05547295, -0.00245665, -0.03276382, -51.74673080, -32.12833023, 44.10186005, 0.69455212, 0.20595098, 0.80453569, -0.99995542, 0.00604829, 0.00183974, 0.00700980, -0.00014304, 0.00051107, -0.00047776, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 6.2800, 628, -0.00260378, -0.01343018, -0.99886137, -0.03656113, 0.01491290, -0.01462252, -51.74673080, -32.12833023, 44.10186005, 0.69367898, 0.20677428, 0.80439222, -0.99995548, 0.00604063, 0.00184686, 0.00700852, -0.00021408, -0.00053944, -0.00103946, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 6.2900, 629, -0.00275785, -0.01373248, -0.99922889, 0.01680204, 0.03236032, -0.01456984, -51.45664978, -31.90691566, 43.99656677, 0.69323200, 0.20725060, 0.80423373, -0.99995553, 0.00603670, 0.00185098, 0.00700712, -0.00005568, -0.00022780, -0.00067054, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 6.3000, 630, -0.00247233, -0.01398030, -0.99859440, -0.00190456, 0.11805259, 0.02171096, -50.47764587, -31.74085426, 44.20714951, 0.69325346, 0.20871617, 0.80447477, -0.99995548, 0.00603679, 0.00186378, 0.00700915, -0.00031977, 0.00002387, -0.00130628, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 6.3100, 631, -0.00235727, -0.01424254, -0.99963355, 0.01607620, 0.02951116, -0.03193544, -50.69519806, -33.84428406, 44.18959808, 0.69359088, 0.20969093, 0.80417401, -0.99995548, 0.00603968, 0.00187229, 0.00700647, -0.00041878, 0.00027184, -0.00026723, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 6.3200, 632, -0.00310790, -0.01351220, -1.00019801, -0.01827876, -0.02318542, -0.01438524, -51.52917099, -31.51943970, 44.13695526, 0.69138163, 0.20865263, 0.80391431, -0.99995559, 0.00602047, 0.00186308, 0.00700429, 0.00032753, -0.00042062, 0.00030028, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 6.3300, 633, -0.00318490, -0.01373937, -0.99895149, -0.00059035, 0.01194346, 0.02083880, -51.52917099, -31.51943970, 44.13695526, 0.69039577, 0.20892639, 0.80410880, -0.99995565, 0.00601185, 0.00186542, 0.00700599, 0.00040565, -0.00016705, -0.00094562, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 6.3400, 634, -0.00314941, -0.01401520, -0.99877214, 0.01754847, -0.07408975, -0.05019316, -50.76771927, -31.51943970, 43.69824600, 0.69073600, 0.20782806, 0.80358708, -0.99995565, 0.00601489, 0.00185583, 0.00700149, 0.00035811, 0.00010631, -0.00112477, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 6.3500, 635, -0.00275379, -0.01367632, -0.99877149, 0.03440110, -0.02111899, 0.00326572, -51.20283508, -31.29802704, 43.69824600, 0.69085503, 0.20754682, 0.80360258, -0.99995565, 0.00601595, 0.00185339, 0.00700164, -0.00004728, -0.00023728, -0.00112849, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 6.3600, 636, -0.00320301, -0.01495803, -0.99899530, -0.00155014, 0.03091513, 0.02165337, -50.87649536, -32.95862961, 44.06675720, 0.69222450, 0.20721743, 0.80382866, -0.99995559, 0.00602792, 0.00185061, 0.00700361, 0.00039508, 0.00103144, -0.00089932, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 6.3700, 637, -0.00279304, -0.01339667, -0.99931622, 0.01627736, -0.02134780, -0.03157048, -50.80398178, -30.24631119, 43.83863068, 0.69203269, 0.20710371, 0.80350655, -0.99995571, 0.00602626, 0.00184959, 0.00700080, -0.00002266, -0.00053089, -0.00058397, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 6.3800, 638, -0.00267371, -0.01429618, -1.00060606, -0.01934762, 0.03009869, 0.03910805, -50.80398178, -30.24631119, 43.83863068, 0.69246602, 0.20760246, 0.80393386, -0.99995553, 0.00603000, 0.00185399, 0.00700450, -0.00013930, 0.00035215, 0.00070698, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 6.3900, 639, -0.00324968, -0.01400779, -0.99956298, 0.03390713, -0.02117332, -0.01469357, -50.58642197, -32.23903656, 44.29489136, 0.69333214, 0.20644228, 0.80377132, -0.99995553, 0.00603763, 0.00184391, 0.00700313, 0.00042815, 0.00005043, -0.00033282, 0.00000000, 0.00000000, 0.00000000, 0.00000000
